Signature	SBS1	SBS7a	SBS8	SBS9	SBS17b	SBS18	SBSblood	Signature.Ig
ACA.AAA	0.000886157	6.70E-05	0.044098218	0.000557954	0.000607958	0.051533858	0.020814575	0.005638477
ACC.AAC	0.002280405	0.000179116	0.047798069	0.004089661	0.000128991	0.015810387	0.009003655	0.004567345
ACG.AAG	0.000177031	7.12E-05	0.004619813	0.000425965	5.82E-05	0.002431598	0.002151448	0.000689097
ACT.AAT	0.001280227	0.000248161	0.046998101	0.003049747	0.000455969	0.021414069	0.009275909	0.006254831
CCA.CAA	0.000312055	0.000455295	0.04009838	0.004799602	0.000270981	0.07404865	0.021954632	0.001049611
CCC.CAC	0.001790318	0.000240156	0.038798433	0.001919841	4.11E-05	0.019612886	0.006247025	0.000644377
CCG.CAG	9.32E-05	2.23E-16	0.003409862	0.001369886	2.23E-16	0.012007889	0.002566158	0.001374002
CCT.CAT	2.23E-16	0.000372242	0.032998667	0.003059746	0.000181988	0.036323865	0.011405882	0.00225949
GCA.GAA	0.00158028	4.06E-05	0.024199022	0.007719359	0.000997932	0.10907166	0.012451755	0.004896266
GCC.GAC	0.00033906	0.00013809	0.026198942	0.006679446	2.78E-06	0.017311374	0.005118257	0.006418822
GCG.GAG	0.000587104	4.25E-05	0.002739889	0.000170986	9.24E-05	0.00756497	0.001286156	0.001010307
GCT.GAT	2.23E-16	2.23E-16	0.026898913	0.00855929	0.000533963	0.062340958	0.006503664	0.009033725
TCA.TAA	6.58E-05	0.000390253	0.029798796	0.016998589	1.24E-05	0.073848518	0.005754404	0.003063946
TCC.TAC	0.002530449	0.000636413	0.025098986	0.002459796	2.23E-16	0.043628664	0.004943358	0.002194725
TCG.TAG	2.23E-16	3.44E-05	0.001899923	0.000444963	9.51E-05	0.012708349	0.001238005	0.002491141
TCT.TAT	5.88E-06	0.000613398	0.031898711	0.027297734	0.002569824	0.122080207	0.006733412	0.003524008
ACA.AGA	0.00186033	6.49E-05	0.004329825	0.004839598	0.00014599	0.001731137	0.017970235	0.009687222
ACC.AGC	0.001220217	2.16E-05	0.002949881	0.001959837	4.34E-05	0.002591703	0.004616578	0.014772706
ACG.AGG	0.00011502	5.08E-05	0.000285988	0.001359887	2.23E-16	0.001921262	0.002197153	0.002633148
ACT.AGT	0.001140202	9.57E-05	0.005709769	0.006409468	0.000318978	0.004082682	0.008723961	0.021904094
CCA.CGA	2.41E-05	2.23E-16	0.004999798	0.000892926	0.000193987	0.000613403	0.007432841	0.004237452
CCC.CGC	7.68E-05	0.000131085	0.005459779	0.001539872	4.66E-05	0.002261486	0.004683854	0.0076926
CCG.CGG	0.000352062	7.76E-05	1.05E-05	0.000436964	2.23E-16	0.003582354	0.001125352	0.000425249
CCT.CGT	2.23E-16	9.57E-05	0.005489778	0.003029749	0.000192987	0.003792492	0.006876342	0.010823128
GCA.GGA	9.59E-06	1.96E-05	0.002579896	0.001359887	5.99E-05	0.000635417	0.006334504	0.011881059
GCC.GGC	0.000164029	3.32E-05	0.002389903	0.002829765	5.55E-05	0.001340881	0.00409997	0.021312182
GCG.GGG	0.000166029	4.51E-05	0.00048798	0.000520957	2.23E-16	0.00063942	0.000814521	0.000517431
GCT.GGT	2.23E-16	4.20E-05	0.004859804	0.008569289	2.23E-16	0.001230809	0.005067417	0.05677913
TCA.TGA	2.23E-16	2.23E-16	0.001469941	0.002689777	0.000159989	0.002141407	0.00399069	0.003360752
TCC.TGC	0.000203036	5.09E-05	0.001339946	0.001999834	6.18E-05	0.00464305	0.00456959	0.005399463
TCG.TGG	6.94E-05	6.35E-06	7.82E-05	0.000403966	1.55E-05	0.000899591	0.000929261	0.00131936
TCT.TGT	0.001560277	0.000281182	0.00024899	0.005629533	0.001499897	0.003182091	0.008858657	0.012726142
ACA.ATA	0.025004437	0.000122079	0.006809725	0.008099328	0.000570961	0.009206048	0.050834901	0.011727913
ACC.ATC	0.006321122	0.017711494	0.002819886	0.00541955	7.03E-05	0.004653057	0.026524323	0.009155071
ACG.ATG	0.365064773	2.23E-16	0.00322987	0.004379636	0.00028698	0.012208021	0.024557626	0.001237867
ACT.ATT	0.0095817	0.007424818	0.012499495	0.006489461	0.00014699	0.00797524	0.039272495	0.02333326
CCA.CTA	0.002000355	0.050032468	0.002669892	0.007239399	0.000456969	0.011707692	0.03049658	0.003080217
CCC.CTC	0.000270048	0.055335909	0.004019838	0.008759273	5.89E-05	0.006764444	0.029000465	0.019179842
CCG.CTG	0.196034782	0.006714357	0.00148994	0.00650946	0.000542963	0.016811045	0.010090678	0.00341847
